first	second	opt	dist	bytes
11011111100100100100101001001100100	11010100111111010011100010001000100	13	13	268313480
11111110001100011000100110100010100	11011100010011010011101001011000100	15	15	445031408
11111001100100110110000101010011000	11110101001011000111000010101011000	14	14	374290816
11100111001001110001110100010010100	11111111100100011010001001011000000	13	13	251459712
11100111100110001101000101001110000	11110010011100011110100101000011000	11	11	82332136
11111010011001010100110001100101000	11110100110011000100101011110000100	13	13	200332280
11101001100111010001110100101001000	11110100110010100100110110001110000	15	16	565961944
11101011101000011101001100010010100	11101001110011001001001110010010100	14	14	348004352
11011001010100110110100110010100100	11110101000110001110011001010110000	15	15	562546552
11110011100111000100101000110100100	11110001110011101000010110001101000	19	21	972555232
11010011110011110011000101110000000	11111100100111000110001000101010100	19	19	954141432
11111100001110011001001001001100100	11110010101010010100110110001101000	13	13	267735520
11100111000100111001101001110000100	11011101001001110100010100111001000	19	19	992229112
11101001101000111001110101001001000	11110001111100000111001010001100100	14	14	322301912
11001111000101010011001100111100000	11111010001010011010101000101101000	18	18	946740632
11111010010001101010100110010101000	11100101100011101101100000110010100	12	12	102737608
11110011010010010011111010000011000	11110100100100111100110001001011000	9	9	10387928
11100111110000010011110100001100100	11111010001010011000111000111000100	13	13	242301088
11001110011100100110001101010010100	11101001111000101000111100011000100	18	18	944231584
11111100100010110010011001010011000	11111010001101000011001111000100100	18	18	932388512
11111110011000000110010100110011000	11110011001010011100011100010010100	11	11	60754520
11111001100100111001001001001011000	11110110100100110011000011011000100	11	11	57060808
11011100011110000111100000101011000	11110101000101010011010100101101000	13	13	200161344
11110100011100001110010011100010100	11010100110101011100010011101000100	11	11	52895720
11010011110010110001010101001100100	11101010011001010011110101000100100	12	12	166740848
11111001100100011000111000110010100	11110011100100011100001011101001000	8	8	6738312
10111010011000101111110001100001000	11010011101001010011001110010011000	14	14	314430176
11110011000100110011100100110011000	11100111011001001001100010101010100	11	11	62790280
11101001100101010011001101001011000	11011101100001100101100011010110000	16	16	659616872
11100101111001110110010100001001000	10110011110011000110100110100011000	14	14	226820304
11111100011000110001111001000110000	11110011001001101001010011010011000	15	15	466786120
11101101100100011100101000110010100	11110110000111010001001110010100100	18	18	849255504
11101110001100100110100101100100100	11111010010000111001100101100110000	15	15	468620392
11101010011110000011100100111010000	11010111001001111001001001011000100	17	18	855578744
11111011000011110001000111000010100	11100100111011100011100000111000100	13	13	158591232
11110001011000111100001111001001000	11110010010011110011100001011100000	14	14	377112152
10110100111010011110000011001110000	11100110011011000101101100001010100	16	16	631384520
11111011001100001100011100011100000	11111100110110000100111010001001000	10	10	39934808
11110010011101100001101000110011000	11110111100010100111000100101000100	14	14	320790576
