first	second	opt	dist	central	visited
111100110001100011110010100101000	111011001100001110010100110100100	18	18	24	278456208
111001110001010011101000111000100	111101000111101001100010010110000	18	18	23	283931904
111110010110110000101001100101000	111101001001111100010001101000100	15	15	22	181672216
110110001101001101100100111000100	111110001001010010111010100011000	17	17	24	259665016
111010100111001000111100100010100	111011001100010101110000101101000	17	17	24	269890920
111010110010010100110101010010100	111100101001100110110001001101000	18	18	24	278079744
110101100100111001100011110100000	110111000111010011000100101110000	18	20	23	284750832
111101001101110000011000110100100	111001100011100100110110001101000	17	17	22	225609984
111001011001001100111101000110000	111101101000101100110010100011000	18	19	21	275052744
110010101110001100111000110110000	101101010011101001100101001011000	18	18	23	274469200
111100010011111000010101110001000	111101100101001001100010110010100	17	17	23	263196000
110111100100111001110000101000100	111010111010100110001100100110000	18	18	23	279957240
110110001110011000111001100100100	111001100011110011000100111001000	18	18	24	278619496
101111110100001101010010100011000	111110001100101010010100110100100	20	20	24	287049616
111001011000110111001100010011000	110110001111100001100011110010000	19	19	23	282577992
101111001101001111001000010100100	111100110010110011100100001101000	17	17	21	247549912
101111100010011110000011011000100	110011011110010010101001001011000	18	18	21	280799208
111001001101010011101010001101000	101111001110001010011010100100100	19	19	23	279187680
111010100111110010000011010101000	111101001001100011101111000000100	18	18	22	282804120
101110011001001100111010010011000	111100010111100001001011100100100	19	19	24	282408024
110111100001100111010000101110000	111001011001010011101100011000100	17	17	21	248824704
111110001100011100010011011001000	111011011001000011001101001010100	17	17	22	255284608
111011010011010000101110010100100	111001010100110011110001001101000	17	17	22	209212136
110100111001011011010001001100100	111110110100111000001011001001000	23	24	24	286965696
111010010110111001110000010110000	111101010000111110000110011000100	19	19	24	278814456
111001100011101001001110001100100	111101000111000011101110010001000	17	17	22	266949960
111011000110101010011110010000100	111100011110100001001100110110000	20	20	22	289002632
111011000101101001101001001011000	111001100101001111001010011010000	18	18	22	276486224
111100011110001000101100110011000	101111000011100101010101001100100	18	18	22	260411856
111110010010110110100000111000100	111101101010010001110011100010000	19	23	24	276801352
111001100110010011101000110101000	110101011110001101000011110010000	17	17	20	263040008
101111100100100110001111000011000	111100100011101100100011100100100	17	17	21	265322104
111111000010100110001110001110000	111011001010010011101000110010100	16	16	25	242456360
111011010011001100011101000011000	111101001110010011000101001110000	17	17	22	273100920
111110001000111011101100100000100	110111010001011010010011001011000	19	19	23	272194776
111101100001101001111100000011000	111001011001001111000111100100000	17	17	22	264465056
111101100100100011010101001101000	111100010100111001001111001000100	16	16	23	209345960
111101100000111110001100010100100	110011011100100110001110100011000	21	21	24	287169968
111101001111000100111001000110000	111110101000110000111001101000100	19	19	23	289462320
110100101100101110110000111001000	111110010100100100111001001010100	17	17	24	242496472
110110001110100111001100001101000	110011110001101001001110011000100	19	19	24	282990512
110111010001100011010010111001000	111100110101001100001101001100100	19	19	24	277672360
111101001001001111000101001010100	110011101101100100011000111001000	20	20	24	287635080
111100011100001111101010100010000	111101010010011001010010110011000	17	17	23	268288216
111011001000111001100110001010100	111010100111000010111110001001000	16	16	24	219019224
111011001010011010011001001101000	111110010010100110110011000100100	16	16	20	245706272
111100001110100111010001010101000	101110111010000100110010110010100	18	18	22	271803392
110111000101001111001000110011000	111001001110011000111011000100100	17	17	22	263165488
110101110001100011110010011000100	111000111100011001010011001110000	17	17	20	273129736
111101111100010011001001000110000	111001100101100011010011010011000	19	20	22	279986376
111100010111001000111001001010100	101110011001110010001100111010000	18	18	22	269234504
111001110010101101010010100010100	101110001110101000110100111010000	19	20	23	279880104
111001101100101001011001001011000	111011010001100100101100111000100	18	18	24	278952664
110011110010100110001100111100000	111010010011101100100101001010100	16	16	22	244485912
111101001001101100011010001101000	110111010001001111001001010100100	17	17	23	252721808
111010110001101100110100001110000	111100011101000011100101010011000	18	18	22	271195072
111101010011001001101001101100000	111001101100001111000111100001000	18	18	24	275973416
111010010100111100010011010101000	111100111011001100100011100000100	20	21	23	288299256
110101110001001101100110010100100	111010001011011000111100001101000	19	19	24	285484736
111100011100011100010011011010000	110111100000110110001111000101000	15	15	22	177367456
110101001111010011001001011010000	101111001100010011001110101001000	19	19	23	285891760
111111100110001010000111100010000	110110010100111011010100010011000	21	21	22	286727840
110011111000110100100110010100100	111101110001000011101001101001000	19	19	23	288121392
111010011101001111010000101000100	111100111010000011100100110101000	21	21	23	287962384
110111100100100011010101001010100	111001110000111010010100111100000	18	18	23	274921176
110111001100011110101001000011000	110011001111001101001000110100100	19	19	21	284695304
110111100011001001111010100000100	111100011111000011010000111001000	19	19	22	288318936
111101111000010010010101001101000	111001111000011111000000111010000	18	18	23	276880624
111110101000101110000110100011000	110100110111000100111000110110000	20	20	23	285349688
111011100010111101010000010011000	111000111110010001110101000100100	19	19	22	275627976
111010101001100100110101100101000	111001001111000101100110001010100	17	17	23	258850936
111101001110001100100101001011000	111110010010010111000100110100100	15	15	23	192218352
101111001001100110100011001101000	111001001110110100010100110010100	19	19	24	282821304
111110010010010010111100011100000	110100111110010001100011100101000	16	16	23	205160432
111001110010001111010100011001000	111011000101101111000001100100100	19	19	23	284939696
111101001101010001100011100100100	111100100101110100011010001101000	18	18	22	274462096
111110100101001001101001001101000	110010111100100110001010110100100	18	18	23	267638792
110111100101000111000110101000100	111001100011101100010101001101000	21	21	24	286905600
111110100100111000010111010001000	111100111001100001001100110010100	16	16	23	220614456
111111010000001111010001010100100	110010110110011100001110001011000	17	17	22	254289720
110101111101101000010001100110000	111000110011101110000100110011000	20	21	24	285398768
101101011000110010111000110100100	111110000110100101100011100011000	19	19	22	281944464
111101110001100110001001001110000	110011011000110110011011001001000	20	20	22	285926384
111011010001110110010010100101000	111100101110000110011001010100100	20	20	23	287577488
110111000101101100011101000110000	111111101010100110000001010010100	18	18	22	280014872
111010110100011010010100101110000	111010011101000111011000100010100	19	19	23	283801920
110100101101110010011010100011000	111100100111001000111000111100000	16	16	21	205593544
111001100011110011010010011001000	111101001101100110000011111000000	20	20	24	286936064
110111100001110000101100110011000	111001111010000110110100100100100	21	21	24	286329992
110111011000001101111000101000100	111010011010100110001111010001000	17	17	21	222184600
111101001111000010011001001100100	111111001000110001110010010101000	18	18	24	285402688
111010101001001111000011101010000	111100111001001100111000001101000	19	19	24	285063776
111101010011001001111001011000000	111101101101100001001010010011000	18	18	23	282608352
111011010010100110111001000100100	110111110101011001000110001100000	16	16	22	218316824
110101010011101100101001010011000	111100100100110110001111000100100	18	18	23	287273824
110011001111000100110101100100100	101110010011111100000100111001000	18	18	22	271597744
111100110011001001001101100011000	101111001001111110011000000100100	20	20	22	285867328
111110100010100110011010001011000	111001110100010010111110011000000	18	18	22	260672392
111111100110010001001100100110000	101111000110111011000010010011000	20	20	24	287080368
110011001100111001010011010011000	111011100001100110001110011010000	20	21	24	287853656
111000111010110000111011001100000	101110011000110110100110100010100	19	19	23	269295208
110110100100110100111100100101000	111100011001100011110000111010000	19	19	23	283315712
110111010010011110100001001100100	111101001111001110001001001100000	19	20	24	287595424
111101001111101000010010011001000	111101101000101001110100001100100	17	17	22	276621344
101110011110001010011110000101000	111011010011011101000010010010100	19	19	22	290508000
111001001111000111001010010010100	110111100000111110001001100101000	18	18	22	279874688
111010110001100111010100011000100	111100011101001100001110010110000	21	21	24	287213360
101110010011011010011000111000100	110101001101101000111010100011000	15	15	21	202522496
111111100010001101000111000011000	110111010001010011101100010100100	19	19	23	285948736
101111000101101000111000101101000	111000110110001101110010010010100	18	19	24	266046896
101110010101001101111000010010100	110110100010111100010110100110000	19	19	24	289189024
110110010100111110100101100100000	111001110001001101101001001100100	19	19	21	289895032
111010010011110110101100001000100	101110110001010010110101001101000	19	19	21	275196736
110110101000111010110010011100000	111100010101110000111110010000100	20	20	21	289224736
110111100010010100110011101010000	110011110100110011010001010011000	18	19	22	275090424
111110001010100100110100111001000	110111101001000011011100100010100	16	16	23	220870968
111010011010110010010010110010100	111001101001010010101101100101000	18	18	24	265882880
