first	second	opt	dist	visited
1011101001100110110100100011001011000	1110011101001101110001000100111100000	21	21	27	3562816680
1100111100001101010011100011100100100	1111011000101011110001000110010011000	20	20	27	3772864568
1101100100111101001011000101100100100	1110010011010011111100000011101001000	19	19	26	3307750040
1101111110010001000011101001010010100	1111000111101000001110100100101101000	18	18	27	2648675376
1101011011010010011100011111001000000	1101110001010011101011110001000011000	22	22	27	3865544504
1111011001100010010010111010100101000	1111100100011100110010011000110100100	22	23	26	3706176976
1111101000110010100110011010100110000	1111110011000101010100100010101010100	20	22	28	3668616096
1101110000111001110011001001101010000	1100111011100010011001011101100100000	21	24	27	3677392488
1101010011101010100111000110010101000	1111010010010101010011011001011000100	21	22	27	3898461776
1110110001011100011110100100100100100	1110011101000110100011100011011100000	24	24	27	3859190168
1110110001110110001011010001100101000	1110011001111001110010001011000100100	20	20	24	3617058696
1110110001010011001111011000100101000	1111100110001010011000110100110010100	22	22	29	3803018360
1011111011001100000110111000001100100	1111100011100110110100000100111100000	24	24	26	3850368800
1101100111010001010011001011101100000	1110101001101011000110110110010000100	22	22	25	3813493336
1110001111010100100101100011001100100	1101111110000101001110000110011001000	24	24	28	3857247504
1101110011010100011011011100000010100	1111001001110011100100010110100110000	25	26	28	3857401568
1111011000110010101001100011010010100	1110001101101001110011100000110110000	20	20	27	3584753240
1101100110010110010010110100101101000	1100111110001110010010010011100100100	19	19	27	3126518160
1111001001010011110110001001110010000	1110111000001110001110011010011000100	19	19	27	3339737312
1110100011011100101001100100111001000	1110010110001111000111001001001110000	22	22	27	3863600256
1101001110010110001110111000101001000	1101011000111001100100111100100010100	17	17	26	2398688064
1111001001111001101001000110001101000	1111101001100010011001110001100010100	21	21	28	3784126120
1111010110001110001100110010011010000	1111100011100010100111000011001011000	21	21	27	3844687072
1111001011000110101010110001101100000	1101100010111111100100001110000010100	23	25	26	3867308752
1111000110010010110011010101100100100	1011111000010110010100101100101101000	20	20	27	3433057248
1111101001000110110001100100110101000	1111001110010100011000111110001010000	20	21	26	3552384864
1011011000111011000011100111000010100	1110100110010011111010100100100101000	22	22	26	3811705656
1111000100111001101011001001101100000	1111010111100100000011001110110001000	23	24	26	3850281872
1101100111010011000100111101010001000	1100111010011001100011010100110100100	21	21	25	3815600592
1110111000101010001111000111000010100	1111000110011001110000111100011010000	22	22	25	3833398128
1100110011110100111010001101100001000	1111101011101100000001010101101000100	23	23	28	3851685808
1110101111000101010010011001010010100	1101100011101000111110010000101110000	22	22	28	3849457920
1110001111000110010011001110001110000	1101110001001110100111000101101001000	19	19	25	3340087872
1011100111100010001100111010010100100	1100111100011110001100101000101101000	21	21	28	3728482696
1011100100111000110111100001100011000	1111100011011000100011001010110100100	21	21	27	3678178632
1110100111000101100110100011001100100	1111001001100110001101101000111001000	19	19	25	3391271544
1110110010100101110001001101001011000	1111001000111000111111000011001000100	19	20	25	3220913288
1111011000011000110100101111100001000	1100111101001011100011101000110000100	22	23	27	3700210256
1110100011111101000010101001110001000	1111001100011011000110100100101110000	20	20	26	3779269088
1110110101000101100011111001000011000	1110010111011001110001100001010100100	22	23	26	3869100064
1101100101001011110011100001100110000	1111001001011100011100100110001010100	21	21	25	3614439528
1111101001100010010011110010011000100	1101011100010011011010010011100110000	21	21	28	3671028000
1111001001011100100111110000011001000	1101001111001010010011100011001110000	21	21	27	3867096824
1110011100110011010011011000010101000	1010110111001001010100101110101000100	25	25	28	3859303584
1100111100101000110011100101011100000	1011100101001111010000111100001101000	20	20	27	3222185376
1101010011111100011010000011011001000	1110011110100010100111101010000100100	22	23	25	3854334120
1111011000001110001101001111001001000	1111100010110100011101001100100100100	22	22	27	3789236104
1011011100011011001010001100110100100	1101100011011011011000110001001011000	21	21	28	3694991664
1111000011011000111010100101001011000	1101100110100111000100111110001100000	21	21	24	3744442376
1111001111000011000101011010010011000	1110100111100100011010100011001100100	22	22	27	3871912792
1110110010010110011100010011010011000	1110010011101001110010001111000100100	21	22	27	3812721088
1110011001011000101100110011100101000	1111010010110001111000100101010010100	21	21	26	3678699680
1111000011011000110111000011100010100	1101101011000101100011111100001100000	23	23	24	3863827016
1110011010010100111101001101001001000	1110100011111100001001100110110000100	20	20	24	3740642280
1111101001000100110101110001001110000	1111001100101001110010001110101000100	21	21	27	3737281976
1111111100010010110001100011000100100	1011111011100110001000011000110011000	22	24	26	3867752952
1110011111000110011000111000010100100	1101100101001110011001011100100011000	22	23	26	3871988424
1011100111011010001101001100011001000	1101101001001110011111001000110000100	20	20	24	3635112856
1110011110010010100100110011001010100	1111101000101100010011111000011010000	21	21	27	3811837112
1111001001110011000111010001001101000	1101110001101001101000110011011010000	20	20	26	3710521944
1111001011100100100101010011100011000	1101101111100100001011100011000100100	20	20	26	3657627768
1111100011010010001111010001001110000	1110111101000011101001001000111000100	20	20	26	3491713520
1101001111001100101011000110010010100	1100111110011100010010110100010110000	22	23	27	3878946488
1110110010011111010010000110100011000	1100110101011001100110010010110100100	22	22	24	3875238048
1111011010011000001011101001110100000	1101100100111010110010001101001100100	21	22	28	3263164608
1011110101100011010001101100011001000	1111010110010110001001100011100110000	20	20	26	3370891504
1111101010100100100110011010001010100	1110110001001110101001110000111001000	20	20	27	3338804712
1111011101000000101111001001100011000	1110100111101101000110010010011010000	25	25	28	3856917056
1101010011111010000010101111000110000	1110101011100011100001101100010010100	20	21	25	3570804264
1101101010010011011000111100011001000	1111010100110011101000100101001100100	23	23	28	3859043856
1101100101001100110111100001001100100	1110011000111001011000111001010011000	20	20	27	3603502136
1111101010011100100010110101100000100	1100111111010000001110010011111000000	19	19	26	2664977120
1101001110001111010100010110001110000	1110101001100101001110110001101100000	21	21	27	3798605328
1011111110000011100100100100110100100	1110011001010011110001101110001001000	22	22	26	3858584240
1111100010011110011000001101010011000	1101100011110011001110001101000110000	22	23	28	3823429392
1111100011010001011100010100110101000	1011110110001111000011000011010010100	22	23	26	3859011304
1110110011001000110110010011001110000	1101111010011110001000100110010011000	23	23	28	3838442328
1110010101001101101100011101100100000	1110100011110100100110010011001011000	21	21	27	3640575248
1111011011000100101001100011100110000	1111000011111001000110010100111000100	23	23	27	3831194432
1111010010011010001110110100010011000	1110010101010011110001001110100110000	20	20	25	3485092528
1110001101010100111100001110110000100	1111101100010100100111001000110011000	21	21	26	3825282352
1110110010011101100010110010010011000	1111100001001101010100111000110110000	19	19	26	3229909960
1111001010010110001011001110010100100	1111010011111010001001001100110100000	19	19	26	3107800616
1011111011010001110101001000011100000	1111010011111010010010100010001010100	20	20	26	3341890072
1011101001010110100100111100100101000	1101110010011010010011011010010100100	18	18	23	3239875616
1111010001110100100100111100001101000	1101101110010010011100110001110010000	22	23	27	3845788016
1011010011110001110001001101110001000	1111111000100010101010011000101100100	22	23	27	3838699472
1111000101011100001011100101101001000	1110110001111001001010001101001110000	18	18	27	2302250208
1111010100111000010111010110000010100	1111100101100001011001100110001101000	17	17	26	1923264968
1011001011110110001100110001010101000	1110101111000011010010011001010010100	24	24	27	3857961248
1011110110100010011000101100101110000	1101001101111000010111011000010010100	23	23	28	3836497968
1101001101001101001101100101001011000	1110101000111100011110001100101000100	22	22	28	3859023368
1111000010111001111101000100100101000	1110101101010011001010010110001100100	21	21	25	3704277560
1110011001110100100011100100110011000	1111010101000100111101000011100100100	23	23	28	3853989248
1011111000010011010011101010100011000	1111110000110000110101100011101000100	17	17	27	1951710392
1100111111000100101011000100111000100	1111011100000111001000110011100011000	22	22	27	3878781552
1111010010110110111000001000101110000	1110011011001100010011100110010011000	21	21	26	3332827160
1110111101000011101000111000010010100	1101100111000100110110001100101110000	19	19	27	2970194360
1110110010010110001101001011100011000	1110010011110000111100010111100000100	20	20	27	3448435920
1100111111100000100101100011110010000	1011110011010011110001010110001100000	20	20	26	3741892112
1011111101010000101010010011100101000	1111000101001111001100100110010010100	21	21	26	3762891512
1101100111001001101000101100101011000	1110011010100011100101010011011010000	19	19	25	3067759256
1111010100110001110010010100110101000	1110001100111010010011001101001100100	22	22	28	3843408800
1111010010110010010100111101000011000	1111001001010011101001011011010010000	18	18	25	2935071040
1110011110011001100000111001011000100	1011010100111110001110000100101110000	22	22	26	3720191136
1111011000110010111000101100011000100	1111110001001010011100100011001110000	21	21	26	3815814264
1110011111100101001000001111000100100	1111101001001101001010011100001011000	19	19	26	3376987784
1101100101010011001101010011100110000	1111001110010010101001100111000011000	20	21	26	3630041864
1111001111001001110010100001011000100	1111011001000101010011101011000011000	23	25	27	3856787584
1101100110001111001011000100111010000	1100110011110001001110101001100011000	21	21	26	3785628152
1101111010010010111100101010100000100	1111000110101110110010010001001011000	26	27	29	3854295688
1111100110000101001111001100100110000	1111010001111100000011111100100000100	19	19	26	3369287864
1110010100111101100001010011001100100	1101111100001001010011110010010011000	19	19	24	3372710536
1110010110100110100011101100010011000	1111011000110100101111001001100010000	23	23	25	3872684776
1110100011001011011110010011100000100	1111001011100001100011101110000101000	20	20	27	3075822712
1111011000111000011100010011101001000	1110010100111001001110100110001100100	24	24	28	3863008848
1111111000011000011001100011100100100	1110111000101110010001101110000101000	19	19	25	3443351408
1110011000111110001110001001100100100	1110100110001100101101010100110101000	20	20	26	3790160024
